Unnamed: 0,CompanyName,RevenueRangeUSDm,NumberOfEmployees,TotalFundRaisedUSDm,NumberOfFundingRounds,CurrentValuationUSDm,RoundType,FundingStatus,NumberOfInvestors,GlobalTrafficRank,Source,City,Country,Area,AlsoKnownAs,EoYArea,InvestorsOrganization,InvestorsPerson,State,UID,ZipCode,permalink
13055,DemandBridge,,11 - 50,1.0,1,1.0,venture_unknown,Late Stage Venture,,,crunchbase,Norcross,United States,US-Central,,"Southeast (Alabama, Carolinas, Georgia, Tennessee)",,,Georgia,c4a75b4a453bce933d01e12cf9f9523d,30092,demandbridge
13056,Viziv Technologies,,,38.260062,5,12.246,venture_unknown,Late Stage Venture,,,crunchbase,Waxahachie,United States,US-West,['Texzon Technologies'],Southwest,,,Texas,e6a977fb2177157c94f18cc1359e87ee,75165,texzon
13057,Midwest Energy Emissions,,11 - 50,13.457962,1,13.457962,venture_unknown,Late Stage Venture,,,crunchbase,Lewis Center,United States,US-Central,"['China Youth Media', 'Digicorp']",East Central,,,Ohio,f8e2f5b4bd719343c280adf3fa7455ce,43035,midwest-energy-emissions
13058,EnergieIP,,,1.045493,2,1.0,venture_a,Early Stage Venture,1.0,,crunchbase,Paris,France,WEM,,,Demeter Partners,,Ile-de-France,520abad146038039030a7e1c01d2c15a,75012,energieip
13059,Wemanity,,,0.0,1,0.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Paris,France,WEM,,,Entrepreneur Venture,,Ile-de-France,78a1f687ad2927abad6960f23d7ea2af,75010,wemanity
13060,Yugabyte,,11 - 50,24.0,2,16.0,venture_a,Early Stage Venture,2.0,,crunchbase,Sunnyvale,United States,US-West,['YugaByte DB'],Northern California,Lightspeed Venture Partners;Dell Technologies Capital,,California,5ca45d8df17a09c637e945c689acd9a6,94085,yugabyte
13061,Indus Holding Company,,,49.1,2,46.0,venture_b,Early Stage Venture,,,crunchbase,Salinas,United States,US-West,,Northern California,,,California,00230d8fc408a7166d3ce5c2c097c069,93907,indus-holding-company
13062,Tended,,11 - 50,1.6849490000000005,4,0.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Lincoln,United Kingdom,UK&I,,,Rising Stars,,Lincolnshire,7506843dfb3e07bfdb3601f1a9058ec4,LN6 7DJ,tended
13063,InvestorTech,,1 - 10,0.05,1,0.05,venture_a,Early Stage Venture,,,crunchbase,Chicago,United States,,,,,,Illinois,8dec3346ddd941c28c8de6e2feaa2564,,investortech
13064,Indentive,,,1.474991,1,1.474991,venture_unknown,Late Stage Venture,1.0,,crunchbase,Linköping,Sweden,Nordics,,,Aggregate Media,,Ostergotlands Lan,2a038263fd72437caf55a0c3768ac778,58330 ,indentive
13065,Savelend,,,2.452832,2,1.1,venture_unknown,Late Stage Venture,,,crunchbase,Stockholm,Sweden,Nordics,,,,,Stockholms Lan,c01aea8606194f9281fba95a48ad24fb,115 23 ,savelend
13066,Fenix Begravning,,,1.148096,2,1.148096,venture_unknown,Late Stage Venture,4.0,,crunchbase,Stockholm,Sweden,Nordics,,,,"Weiderman, Peter;Mahlstein, Stefan;Ekman, Tomas;Nettelblad, Anders",Stockholms Lan,b5f9bbc5e2814ff48d812a85378aafe1,,fenix-begravning
13067,Comprado,,,0.864426,1,0.864426,venture_unknown,Late Stage Venture,,,crunchbase,Stockholm,Sweden,Nordics,,,,,Stockholms Lan,9504e2797d154ccf9b0f83caf22b4980,,comprado
13068,Videquus,,,0.430206,1,0.430206,venture_unknown,Late Stage Venture,1.0,,crunchbase,Flyinge,Sweden,Nordics,,,Almi Invest,,Skane Lan,afd6f9c325dd45b795e27f1e996af637,,videquus
13069,URO-1,,,1.11225,1,1.11225,venture_a,Early Stage Venture,,,crunchbase,Winston Salem,United States,US-Central,,"Southeast (Alabama, Carolinas, Georgia, Tennessee)",,,North Carolina,f3877d9025be43eb82c02b383bdcf4bd, 27101,uro-1
13070,Harmony Biosciences,,101 - 250,670.0,3,270.0,venture_unknown,Late Stage Venture,7.0,,crunchbase,Plymouth Meeting,United States,US-East,,Greater Philadelphia,HBM Healthcare Investments AG;Valor Equity Partners;Novo Holding;venBio Partners;Nan Fung Life Sciences;Fidelity Management and Research Company;Vivo Capital,,Pennsylvania,9565c627233a483180f9e8c4afbdd636,19462,harmony-biosciences
13071,Lola Market,,51 - 100,3.372113,1,3.372113,venture_unknown,Late Stage Venture,,,crunchbase,Madrid,Spain,Mediterranean,,,,,Madrid,7c80207343254e0c8f23cc2aafa1c88c,28010,lola-market
13072,Datree,,11 - 50,11.0,3,8.0,venture_a,Early Stage Venture,3.0,,crunchbase,San Francisco,United States,US-West,['datree.io'],Northern California,Y Combinator;Blumberg Capital;TLV Partners,,California,70d58cfa809d46068a728f30cb820821,94105,datree-io
13073,al+,,,12.125406,5,0.0,venture_c,Late Stage Venture,3.0,,crunchbase,Tokyo,Japan,Japan,,,TIS Japan;REGAIN GROUP Japan;SBI Investment,,Tokyo,5b494c35454344b78422ffd7f523bf84,,al
13074,Beehive Technology,,,9.4,1,9.4,venture_a,Early Stage Venture,1.0,,crunchbase,Beijing,China,Greater China,,,Tendence Capital,,Beijing,98e461f9210343648d18a01eb4362a4d,,beehive-technology
13075,11 Honore,,,18.0,2,8.0,venture_a,Early Stage Venture,5.0,,crunchbase,Los Angeles,United States,US-West,,Greater Los Angeles,Upfront Ventures;Canvas Ventures;Forerunner Ventures;Redpoint;Greycroft,,California,e65c4919ca7444e9a2eec9c8528c53f1,90046,11-honore
13076,Solo.io,,1 - 10,13.5,2,11.0,venture_a,Early Stage Venture,3.0,,crunchbase,Cambridge,United States,,,,True Ventures;Redpoint;WestWave Capital,,Massachusetts,b960533b7b0e41f5852c06c242c6fab7,,solo-io
13077,Plynk,,11 - 50,29.011063,3,28.177491,venture_a,Early Stage Venture,1.0,,crunchbase,Dublin,Ireland,UK&I,['Plynk.me'],,Prive-Swiss,,Dublin,681a5cd32a324a178ef27eb37b15fa91,,plynk
13078,AsiaCollect,,101 - 250,6.7,3,4.5,venture_unknown,Late Stage Venture,2.0,,crunchbase,Singapore,Singapore,Asean,,,SIG China (SIG Asia Investments);Dymon Asia Ventures,,Central Region,9c9d2881d1f74b208c1f39e36417f95d,179098,asiacollect
13079,POS Media Czech,,251 - 500,0.0,1,0.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Praha,Czech Republic,CESA,,,Genesis Capital,,Hlavni mesto Praha,80aa6be701a54deba56345ecae829b8b,140 00,pos-media-czech
13080,Tongdun Technology,,501 - 1000,250.2,6,100.0,venture_d,Late Stage Venture,4.0,,crunchbase,Hangzhou,China,Greater China,"['Fraud Matrix', 'Tongdun Keji ', '同盾科技', '同盾科技有限公司']",,Guotai Asset Management;GGV Capital;China Merchants Capital;Everbright,,Zhejiang,59eae86c6e0a40ab82ae48180931f834,,tongdun-technology
13081,Caper,,11 - 50,13.0,4,10.0,venture_a,Early Stage Venture,6.0,,crunchbase,Brooklyn,United States,US-East,['Caper.ai'],New York,Lux Capital;FundersClub;Hardware Club;First Round Capital;Sidekick Fund;Y Combinator,,New York,1b76698a41044e7693a77b30529adc72,11222,caper
13082,LeasLink,,,2.45,1,19.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Warsaw,Poland,CESA,,,Pragma,,Mazowieckie,0fcf5b057eb043209ddb3930989aa8a2,04-028,leaslink
