Unnamed: 0,CompanyName,RevenueRangeUSDm,NumberOfEmployees,TotalFundRaisedUSDm,NumberOfFundingRounds,CurrentValuationUSDm,RoundType,FundingStatus,NumberOfInvestors,GlobalTrafficRank,Source,City,Country,Area,AlsoKnownAs,EoYArea,InvestorsOrganization,InvestorsPerson,State,UID,ZipCode,permalink
7227,Bombay Shirt Company,,11 - 50,8.984413,2,8.0,venture_unknown,Late Stage Venture,1.0,198123.0,crunchbase,Mumbai,India,India,,,Lightbox,,Maharashtra,908db6bd437b3d86773afc929ed0ed1d,400011,bombay-shirt-company
7228,Riversand,,51 - 100,45.0,3,35.0,venture_a,Early Stage Venture,1.0,429135.0,crunchbase,Houston,United States,US-West,,Gulf Coast Area,Crestline,,Texas,d4834c2c1ec8f9b3cb3ca7abf047f481,77042,riversand
7229,Shanghai Suntime Information Technology,,1 - 10,35.0,1,35.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Shanghai,China,Greater China,"['朝阳永续', 'Suntime']",,Ant Financial,,Shanghai,89d79ea60863300ad483effde6a6b9da,,shanghai-suntime-information-technology
7230,Certa Dose,,,5.550001,3,5.0,venture_unknown,Late Stage Venture,,11894172.0,crunchbase,Denver,United States,US-West,,Mountain Desert,,,Colorado,5e7d8a25abe33052946b2c3b79511e5a,80218,certa-dose
7231,Eleusis,,1 - 10,5.7372239999999985,3,0.0,venture_a,Early Stage Venture,,4465966.0,crunchbase,London,United Kingdom,UK&I,['Eleusis Benefit Corporation'],,,,England,2c6fdccdd7a1866dfe1740fa154f47cb,W1K 3QT,eleusis-benefit
7232,Tundra,,11 - 50,12.0,2,12.0,venture_a,Early Stage Venture,9.0,,crunchbase,San Francisco,United States,US-West,,Northern California,Total Access Fund;Redpoint;Switch Ventures;FJ Labs;Peterson Ventures;Initialized Capital;Alumni Ventures Group;AVG Women's Fund;Green D Ventures,,California,72510db2a9b4bb7b28598069463181de,94111,tundra
7233,Marketlend,,11 - 50,1.0,2,0.0,venture_a,Early Stage Venture,1.0,2720504.0,crunchbase,Sydney,Australia,Oceania,,,SeedInvest,,New South Wales,848f1dc2a0a5ef892e1e97b72ad4dbb8,2000,marketlend
7234,Anju Software,,,8.575,2,8.575,venture_unknown,Late Stage Venture,1.0,3853722.0,crunchbase,New York,United States,US-East,,New York,Providence Equity Partners,,New York,5d5d799de381a44c6037fba70d305906,10011,anju-software
7235,Fluo,,11 - 50,2.23087,2,2.108359,venture_unknown,Late Stage Venture,1.0,3893289.0,crunchbase,Paris,France,WEM,,,Credit Mutuel Arkea,,Ile-de-France,5347ada221816f0fe569fb319ccefa06,75017,fluo
7236,DataRails,,11 - 50,10.0,4,3.0,venture_a,Early Stage Venture,3.0,2575719.0,crunchbase,Rishon Letsiyon,Israel,Israel,,,Innovation Endeavors;Vertex Ventures;Vertex Ventures Israel,,HaMerkaz,06e921e95b0bfd3b7e63d973792cf7d1,,datarails
