Unnamed: 0,CompanyName,RevenueRangeUSDm,NumberOfEmployees,TotalFundRaisedUSDm,NumberOfFundingRounds,CurrentValuationUSDm,RoundType,FundingStatus,NumberOfInvestors,GlobalTrafficRank,Source,City,Country,Area,AlsoKnownAs,EoYArea,InvestorsOrganization,InvestorsPerson,State,UID,ZipCode,permalink
27858,Barn2Door,,11 - 50,4.285,3,3.4,venture_a,Early Stage Venture,4.0,993240.0,crunchbase,Seattle,United States,US-West,['B2D'],Pacific Northwest,ff Venture Capital;Lead Edge Capital;Social Starts;Global Founders Capital,,Washington,6c8dbf4e270702e21199f1f0c5988f45,98103,barn2door
27859,California Safe Soil,,11 - 50,14.985,7,1.41,venture_unknown,Late Stage Venture,,23953081.0,crunchbase,West Sacramento,United States,US-West,['CSS'],Northern California,,,California,b10f33f96a4c1b62d8babd64bcb7f145,95605,california-safe-soil
27860,IdentityMind,,51 - 100,21.5,3,10.0,venture_c,Late Stage Venture,5.0,2557996.0,crunchbase,Palo Alto,United States,US-West,,Northern California,Eastern Link Capital;Overstock;Benhamou Global Ventures;Zanadu Capital Partners;Hanna Ventures,,California,477e0f94887edbf24049b111e22b2be7,94301,identitymind-global
27861,Wolt,,501 - 1000,175.5,6,565.0,venture_c,Late Stage Venture,5.0,27776.0,crunchbase,Helsinki,Finland,Nordics,,,83North;Lifeline Ventures;Highland Europe;ICONIQ Capital;EQT Ventures,,Southern Finland,8e1c06caea6c1125afb419682c93572f,00100,wolt
27862,GolfLAN,,11 - 50,2.2,3,1.2,venture_unknown,Late Stage Venture,1.0,2483734.0,crunchbase,New Delhi,India,India,,,,"Bebhia, Deven Lakshmi Chand Bebhia",Delhi,7aefd24f9ccf6f7b02f62a9a85e27f34,110016,golflan
27863,Telr,,51 - 100,13.9,3,5.5,venture_a,Early Stage Venture,1.0,211779.0,crunchbase,Dubai,United Arab Emirates,MENA,,,Innovations East fund,,Dubai,44ede5a3e73bb908663435a88af35a06,,telr
27864,Distributed Machines,,11 - 50,31.129878,4,30.0,venture_a,Early Stage Venture,1.0,,crunchbase,Santa Monica,United States,US-West,"['IQ Network', 'DMI']",Greater Los Angeles,Galaxy Digital LP,,California,0866cbf26898cfb9bfe30b005d4b0051,90401,distributedmachines
27865,Airtime Rewards,,1 - 10,1.325421,5,0.0,venture_unknown,Late Stage Venture,1.0,808887.0,crunchbase,Manchester,United Kingdom,UK&I,['AR'],,Tech Nation Fintech,,Manchester,f0a4cbba87a2690ed4938da3b26407e8,M3 4EN,airtime-reward-limited
27866,Orphe,,,2.525868,2,2.261169,venture_a,Early Stage Venture,4.0,7968949.0,crunchbase,Tokyo,Japan,Japan,['no new folk studio'],,"Mistletoe;Mitsubishi UFJ Trust & Banking;Monozukuri Ventures;MTG Co., Ltd.",,Tokyo,89aa56380757b9a9c9b29ea007a37373,101-0023,orphe
27867,Carbon,,251 - 500,682.0,6,2400.0,venture_e,Late Stage Venture,9.0,436087.0,crunchbase,Redwood City,United States,US-West,['Carbon 3D'],Northern California,Hydra;Madrone Capital Partners;Baillie Gifford;Fidelity Management and Research Company;Sequoia Capital;JSR Corp;Johnson & Johnson Innovation;Temasek Holdings,"Arkema, Erwin",California,2df02ab1bb6060e3d1470e03ef04d0d5,94063,carbon3d
27868,Mavenlink,,251 - 500,111.464,5,48.0,venture_e,Late Stage Venture,2.0,76951.0,crunchbase,Irvine,United States,US-West,,Pacific Southwest (Orange County and San Diego),Goldman Sachs;Carrick Capital Partners,,California,15927bfbf41e433160fa14815d000077,92618,mavenlink
27869,Light Information Systems,,11 - 50,2.26,5,0.0,venture_unknown,Late Stage Venture,1.0,7043890.0,crunchbase,Pune,India,India,"['nlpbots', 'NLPBOTS ', 'Light Infosys ']",,Target Accelerator,,Maharashtra,3f2706964c56e49ec0407d3edae12e63,411014 ,light-2
27870,Kitabisa.com,,101 - 250,0.0,2,0.0,venture_a,Early Stage Venture,1.0,28436.0,crunchbase,Jakarta,Indonesia,Asean,,,500 Startups,,Jakarta Raya,cdacc5b31510964b632542ddca4d13b3,17431,kitabisa-com
27871,Skoove,,11 - 50,4.654939,6,3.385393,venture_unknown,Late Stage Venture,5.0,340975.0,crunchbase,Berlin,Germany,GSA,,,High-Tech Grunderfonds;MGO Digital Ventures;Egora Holding;Ringier Digital Ventures;IBB Beteiligungsgesellschaft,,Berlin,409cde748622b3867fa9c7678fac50a4,10243,skoove
27872,Text IQ,,11 - 50,15.6,3,12.6,venture_a,Early Stage Venture,2.0,3006579.0,crunchbase,San Francisco,United States,US-West,,Northern California,FirstMark;Sierra Ventures,,California,0085d97e60f1bb670b9450a37e3f092a,94109,text-iq
27873,Nonnatech,,1 - 10,1.025,4,0.0,venture_a,Early Stage Venture,1.0,19889237.0,crunchbase,New York,United States,US-East,,New York,Quake Capital Partners,,New York,8f5b8f55a2c06af298a26f62a10988bb,10001,nonnatech
27874,Bring!,,11 - 50,3.770695,3,2.438352,venture_a,Early Stage Venture,3.0,146990.0,crunchbase,Zürich,Switzerland,GSA,,,Swisscom Ventures;Gentian Investments;Swiss Founders Fund,,Zurich,5f52516b9de0685640a68f2a70aa6ede,CH-8005,bring-
27875,Immerss,,1 - 10,3.0,3,1.0,venture_a,Early Stage Venture,,8490762.0,crunchbase,Dallas,United States,US-West,['Wava '],Southwest,,,Texas,67d1b2feeecbca66979e080d840226bc,75248,immerss
27876,Darktrace,,501 - 1000,230.5,7,1650.0,venture_e,Late Stage Venture,3.0,461752.0,crunchbase,Cambridge,United Kingdom,UK&I,,,Kohlberg Kravis Roberts;Vitruvian Partners;TenEleven Ventures,,Cambridgeshire,3c0b06775710ad5f1140578cb521b06d,CB4 0DS,darktrace
27877,ChainCraft,,,6.7176839999999975,3,0.0,venture_b,Early Stage Venture,3.0,17291352.0,crunchbase,Amsterdam,Netherlands,WEM,,,Port of Amsterdam;StartGreen Capital;Amsterdams Klimaat en Energiefonds,,Noord-Holland,2620423e7871ffa57cd0a1fac80ff613,1044 AN,chaincraft
27878,InstaFreight,,101 - 250,9.518416,2,0.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Berlin,Germany,GSA,,,Shell Ventures,,Berlin,1bdb99fd1b245e6bb77f4cafa367c2f2,10999,instafreight
27879,"Startbahn, Inc.",,11 - 50,4.19046,2,3.286025,venture_a,Early Stage Venture,5.0,7399291.0,crunchbase,Tokyo,Japan,Japan,,,"UTEC- University of Tokyo Edge Capital;SX Capital, Inc.;Dentsu;SBI Investment","Katayama, Ryutaro",Tokyo,01b019f705123c8e0762ef1f59533be2,113–8485,startbahn--inc-
27880,Green Earth Institute,,1 - 10,2.815271,6,0.0,venture_unknown,Late Stage Venture,1.0,15760956.0,crunchbase,Tokyo,Japan,Japan,,,Universal Materials Incubator,,Tokyo,560dfb0c6153053e0f41c4a81c9f5af2,113-0033,green-earth-institute
27881,PKSHA Technology,,,3.839637,3,0.0,venture_unknown,Late Stage Venture,1.0,1901868.0,crunchbase,Tokyo,Japan,Japan,,,Mirai Creation Fund,,Tokyo,f6af512603417ca4b07ddba4a756c716,,pksha-technology-inc-
27882,Moula,,51 - 100,50.87983300000001,3,20.0,venture_d,Late Stage Venture,3.0,1625911.0,crunchbase,Melbourne,Australia,Oceania,,,Acorn Capital;Liberty Financial;Escala Partners,,Victoria,de2a26a23f98b3a36931c246565e54ba,3000,moula
27883,The CareVoice,,11 - 50,13.13,5,10.0,venture_a,Early Stage Venture,4.0,8341202.0,crunchbase,Shanghai,China,Greater China,"['康语', 'Kangyu']",,LUN Partners Group;Artesian VC;SOSV;DNA Capital,,Shanghai,a21c8476edd887838189b0066c9e5a74,,the-carevoice
27884,She Leads Africa,,1 - 10,0.05,1,0.05,venture_a,Early Stage Venture,1.0,1002709.0,crunchbase,Lagos,Nigeria,Africa,,,Consonance Investment Managers,,Lagos,b998523fb7c0d59ab6644aa57fc2e7d5,,she-leads-africa
27885,Provivi,,11 - 50,114.471104,4,85.0,venture_c,Late Stage Venture,7.0,6002354.0,crunchbase,Santa Monica,United States,US-West,,Greater Los Angeles,Lanx Capital;Pontifax AgTech;Temasek Holdings;Kairos Ventures;Tybourne Capital Management;Spruce Capital Partners;BASF Venture Capital,,California,64f8ec6e08982b54f3fc105d82e8b1b5,90404,provivi
27886,Oddle,,101 - 250,0.0,5,0.0,venture_a,Early Stage Venture,3.0,107260.0,crunchbase,Singapore,Singapore,Asean,,,SPH Media Fund;CarPal;RB Investments Pte. Ltd.,,Central Region,bf4bf254fd36f99817cf891757f8807d,139951,oddle
27887,cloudeo,,11 - 50,2.834735,1,2.834735,venture_unknown,Late Stage Venture,,17936899.0,crunchbase,Munich,Germany,GSA,,,,,Bayern,c1f26310c7b6a599431df15bc1aab0a9,80539,cloudeo
27888,SenSprout,,1 - 10,1.301032,1,1.301032,venture_unknown,Late Stage Venture,3.0,19696781.0,crunchbase,Tokyo,Japan,Japan,,,"GMO VenturePartners;Mitsui Sumitomo Insuarance Venture Capital;ABBALab - Atom to Bit, Bit to Atom",,Tokyo,dca8f13b9a444a4d741337684ff1c208,,sensprout
