Unnamed: 0,CompanyName,RevenueRangeUSDm,NumberOfEmployees,TotalFundRaisedUSDm,NumberOfFundingRounds,CurrentValuationUSDm,RoundType,FundingStatus,NumberOfInvestors,GlobalTrafficRank,Source,City,Country,Area,AlsoKnownAs,EoYArea,InvestorsOrganization,InvestorsPerson,State,UID,ZipCode,permalink
25785,Tradecloud,,11 - 50,0.0,2,0.0,venture_unknown,Late Stage Venture,2.0,3818827.0,crunchbase,Delft,Netherlands,WEM,,,InnovationQuarter,"Keep, Paul van",Zuid-Holland,21cc7175cb87e276c4b24f8864734045,2629JD,tradecloud-nl
25786,GelSight,,1 - 10,10.04,4,10.0,venture_b,Early Stage Venture,1.0,10113749.0,crunchbase,Philadelphia,United States,US-East,,Greater Philadelphia,Anzu Partners,,Pennsylvania,4edff699a5fcfebd25073ca47f60fd95,19146,gelsight
25787,Lalamove,,501 - 1000,461.5,7,300.0,venture_d,Late Stage Venture,5.0,54586.0,crunchbase,Hong Kong,Hong Kong,Greater China,"['EasyVan', '货拉拉', 'Huolala']",,Sequoia Capital China;Hillhouse Capital Group;Shunwei Capital;Eastern Bell Capital;MindWorks Capital,,Hong Kong Island,0b2ef5601a32a9578074b090a507e139,,easyvan
25788,Wagepoint,,11 - 50,4.0,2,2.0,venture_unknown,Late Stage Venture,1.0,206776.0,crunchbase,Kitchener,Canada,Canada,,,TIMIA Capital,,Ontario,0d5aeb3be5e248cf2cac6243fe55e4de,N2G1H6,wagepoint
25789,Azoti Inc.,,1 - 10,3.109,2,2.459,venture_unknown,Late Stage Venture,,20136015.0,crunchbase,Columbus,United States,,,,,,Ohio,c23009cb223e8c40594e7379d8df16db,,azoti-inc
25790,CULQI,,11 - 50,0.4255,4,0.0,venture_unknown,Late Stage Venture,1.0,387970.0,crunchbase,Lima,Peru,Latam North,,,Krealo,,Lima,4659be8bd695c2a0da7b0c0585c60621,,culqi
25791,Remesh,,51 - 100,13.979020000000002,5,10.0,venture_a,Early Stage Venture,4.0,1708489.0,crunchbase,New York,United States,,,,General Catalyst;LionBird;Plug and Play,"Wishkovsky, Joel",New York,d20213fcb4fe62058e1145a8d7602131,,remesh
25792,Visual Threat,,1 - 10,8.5,3,5.0,venture_a,Early Stage Venture,1.0,5031911.0,crunchbase,San Jose,United States,US-West,,Northern California,Baidu,,California,f0ddf1aae83aa6d9f52363849afd2aa5,95131,visual-threat
25793,Bolt Threads,,51 - 100,212.99999900000003,4,123.0,venture_d,Late Stage Venture,5.0,2027696.0,crunchbase,Emeryville,United States,US-West,['Refactored Materials'],Northern California,Temasek Holdings;Baillie Gifford;Allen & Company LLC;Fidelity Management and Research Company;Formation 8,,California,ce1154f7be93035a27d0490131e522a4,94608,bolt-threads
25794,GearLaunch,,51 - 100,4.8,1,4.8,venture_a,Early Stage Venture,1.0,236109.0,crunchbase,San Francisco,United States,US-West,,"Utah Region (Utah, Idaho and Wyoming)",Hunt Technology Ventures,,California,b449216f378dd2d6bb6655c6dad495df,84101,gearlaunch
25795,eGym,,251 - 500,109.436457,5,20.0,venture_d,Late Stage Venture,3.0,274544.0,crunchbase,Munich,Germany,GSA,,,HPE Growth;Highland Europe;NGP Capital,,Bayern,f36d1623898f88b53b6df328b2cfdc01,81677,egym
25796,DouxMatok,,11 - 50,30.155975,4,22.0,venture_b,Early Stage Venture,8.0,7830136.0,crunchbase,Tel Aviv,Israel,Israel,,,La Maison ITF;Südzucker AG;Foodlab Capital;Royal DSM;OurCrowd;btov Partners;BlueRed Partners;Singha Ventures,,Tel Aviv,abf5032ec4c6cc1eeb8659e494c96b50,,douxmatok
25797,Campanda,,11 - 50,19.046798000000006,5,10.552352,venture_b,Early Stage Venture,7.0,414938.0,crunchbase,Berlin,Germany,GSA,,,Accel;Ringier Digital Ventures;btov Partners;Idinvest Partners;Atlantic Labs;Michelin Travel Partner;Le Peigne,,Berlin,8102038d64074d8997c954fe33419dbc,10719,campanda
25798,Nucleus,,11 - 50,8.97,2,5.6,venture_a,Early Stage Venture,10.0,2662459.0,crunchbase,New York,United States,US-East,,New York,Amazon Alexa Fund;Foxconn Technology Group;SV Angel;BoxGroup;Pathfinder;Tectonic Capital;Liquid 2 Ventures;Reimagined Ventures;Greylock Partners;Prolific Venture Capital,,New York,0e1eed7a94f02d77796701039350d32d,10010,nucleus
25799,Framebridge,,251 - 500,82.149999,7,15.0,venture_c,Late Stage Venture,1.0,175681.0,crunchbase,Washington,United States,US-East,,Mid-Atlantic,Graham Holdings,,District of Columbia,62b4ed7a560808b95496f7c1104907cc,20007,framebridge
25800,Yeelight,,51 - 100,0.0,3,0.0,venture_c,Late Stage Venture,4.0,,crunchbase,Qingdao,China,Greater China,,,Shunwei Capital;Cathay Capital;Blueprint Capital Advisors;GIC,,Fujian,17a430184f6bd908540c0ad96fc71ce2,266101,yeelight
25801,Sakara Life,,11 - 50,4.8,1,4.8,venture_a,Early Stage Venture,2.0,26455014.0,crunchbase,New York,United States,US-East,,New York,,"Mylod, Robert;Boyd, Jeffery",New York,fa748747bc40d9af8238f11b68d5321c,10012,sakara-life
25802,Springboard,,51 - 100,22.2,6,11.0,venture_a,Early Stage Venture,6.0,89986.0,crunchbase,San Francisco,United States,US-West,"['SlideRule', 'Springboard']",Northern California,International Finance Corporation;Blue Fog Capital;Costanoa Ventures;Reach Capital;Learn Capital;Pearson Ventures,,California,e197a671b888c39c912ded5c2ba09c3c,94111,sliderule
25803,Rhythm Superfoods,,11 - 50,9.175,3,6.0,venture_d,Late Stage Venture,3.0,3607702.0,crunchbase,Austin,United States,US-West,['Daily Juice Foods'],Central Texas,Blueberry Ventures;301 INC;CircleUp Growth Partners,,Texas,b08ea47d98aed0e50e241c5276a7629a,78704,rhythm-superfoods
